iso3,country,region,disease_exposure,economic_sensitivity,legal_preparedness,domestic_legal_readiness,trade_continuity_preparedness,legal_indicators_available,legal_indicators_total,legal_vulnerability,tvi,data_availability,tvi_class,disease_class,economic_class,legal_class,contrib_disease,contrib_economic,contrib_legal
DZA,Algeria,Africa,28.6,38.8,,,,0,5,,33.7,D/E,Low,Low,Low,N/A,9.533333333333333,12.933333333333332,
SAU,Saudi Arabia,Middle East,,33.6,,,,0,5,,33.6,E,Low,N/A,Low,N/A,,11.2,
CAN,Canada,Americas,,33.6,,,,0,5,,33.6,E,Low,N/A,Low,N/A,,11.2,
MDG,Madagascar,Africa,,33.2,,,,0,5,,33.2,E,Low,N/A,Low,N/A,,11.066666666666666,
BRA,Brazil,Americas,,33.1,,,,0,5,,33.1,E,Low,N/A,Low,N/A,,11.033333333333333,
AND,Andorra,Europe,,32.6,,,,0,5,,32.6,E,Low,N/A,Low,N/A,,10.866666666666667,
GBR,United Kingdom,Europe,,32.1,,,,0,5,,32.1,E,Low,N/A,Low,N/A,,10.7,
RUS,Russian Federation,Europe,,32.0,,,,0,5,,32.0,E,Low,N/A,Low,N/A,,10.666666666666666,
TWN,Chinese Taipei,Asia and the Pacific,,45.0,81.2,75.0,87.5,4,5,18.8,31.9,E/L,Low,N/A,Moderate,Very Strong,,15.0,6.266666666666667
NOR,Norway,Europe,,31.8,,,,0,5,,31.8,E,Low,N/A,Low,N/A,,10.6,
AZE,Azerbaijan,Europe,28.6,34.7,,,,0,5,,31.6,D/E,Low,Low,Low,N/A,9.533333333333333,11.566666666666666,
ISL,Iceland,Europe,,37.4,75.0,,75.0,2,5,25.0,31.2,E/L,Low,N/A,Low,Strong,,12.466666666666665,8.333333333333332
PRY,Paraguay,Americas,,30.8,,,,0,5,,30.8,E,Low,N/A,Low,N/A,,10.266666666666666,
MCO,Monaco,Europe,,30.4,,,,0,5,,30.4,E,Low,N/A,Low,N/A,,10.133333333333333,
BIH,Bosnia and Herzegovina,Europe,,29.6,,,,0,5,,29.6,E,Low,N/A,Low,N/A,,9.866666666666667,
GEO,Georgia,Europe,28.6,30.6,,,,0,5,,29.6,D/E,Low,Low,Low,N/A,9.533333333333333,10.2,
VAT,Holy See,Europe,,29.6,,,,0,5,,29.6,E,Low,N/A,Low,N/A,,9.866666666666667,
MDA,Moldova,Europe,,32.6,75.0,75.0,75.0,5,5,25.0,28.8,E/L,Low,N/A,Low,Strong,,10.866666666666667,8.333333333333332
SLV,El Salvador,Americas,,28.5,,,,0,5,,28.5,E,Low,N/A,Low,N/A,,9.5,
CYP,Cyprus,Europe,,27.6,,,,0,5,,27.6,E,Low,N/A,Low,N/A,,9.2,
ROU,Romania,Europe,,26.9,,,,0,5,,26.9,E,Low,N/A,Low,N/A,,8.966666666666665,
XKX,Kosovo,Europe,,25.1,,,,0,5,,25.1,E,Low,N/A,Low,N/A,,8.366666666666667,
CHE,Switzerland,Europe,,24.4,,,,0,5,,24.4,E,Low,N/A,Low,N/A,,8.133333333333333,
