country,iso3,assessment_year,pvs_assessment_version,indicator,indicator_code,indicator_name,score,score_scale,source,source_url,data_availability,missing_data_flag
Dominica,DMA,2009,Public PVS report (edition varies),IV-7,IV-7,IV-7,,1-5,Public PVSIS report (parse incomplete): Herramienta para la Evaluación de las  Prestaciones de los Servicios Veterinarios ,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/189,unavailable,True
Ethiopia,ETH,2025,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,3.0,1-5,Public PVSIS report: WOAH PVS Evaluation Follow-Up  mission report of Ethiopia,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/740,public_report,False
Ethiopia,ETH,2025,Public PVS report (edition varies),IV-1B,IV-1B,IV-1B,2.0,1-5,Public PVSIS report: WOAH PVS Evaluation Follow-Up  mission report of Ethiopia,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/740,public_report,False
Ethiopia,ETH,2025,Public PVS report (edition varies),IV-4,IV-4,IV-4,3.0,1-5,Public PVSIS report: WOAH PVS Evaluation Follow-Up  mission report of Ethiopia,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/740,public_report,False
Ethiopia,ETH,2025,Public PVS report (edition varies),IV-6,IV-6,IV-6,,1-5,Public PVSIS report: WOAH PVS Evaluation Follow-Up  mission report of Ethiopia,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/740,unavailable,True
Ethiopia,ETH,2025,Public PVS report (edition varies),IV-7,IV-7,IV-7,2.0,1-5,Public PVSIS report: WOAH PVS Evaluation Follow-Up  mission report of Ethiopia,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/740,public_report,False
Guinea,GIN,2019,Public PVS report (edition varies),IV-1A,IV-1A,IV-1A,4.0,1-5,Public PVSIS report: Rapport de mission d’évaluation PVS de suivi,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/109,public_report,False
Guinea,GIN,2019,Public PVS report (edition varies),IV-1B,IV-1B,IV-1B,1.0,1-5,Public PVSIS report: Rapport de mission d’évaluation PVS de suivi,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/109,public_report,False
Guinea,GIN,2019,Public PVS report (edition varies),IV-4,IV-4,IV-4,,1-5,Public PVSIS report (parse incomplete): Rapport de mission d’évaluation PVS de suivi,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/109,unavailable,True
Guinea,GIN,2019,Public PVS report (edition varies),IV-6,IV-6,IV-6,,1-5,Public PVSIS report (parse incomplete): Rapport de mission d’évaluation PVS de suivi,https://pvs.woah.org/pvs-is-be/api/document-management/download-public/109,unavailable,True
